year,state,measles_cases,mumps_cases
2010,TX,,121.0
2010,UT,,3.0
2010,VA,3.0,13.0
2010,VT,,
2010,WA,1.0,7.0
2010,WI,,5.0
2010,WV,,2.0
2010,WY,1.0,1.0
2011,AK,,
2011,AL,,
2011,AR,,
2011,AZ,2.0,
2011,CA,31.0,
2011,CO,,
2011,CT,1.0,
2011,DC,,
2011,DE,1.0,
2011,FL,8.0,
2011,GA,,
2011,HI,,
2011,IA,1.0,
2011,ID,,
2011,IL,3.0,
2011,IN,14.0,
2011,KS,6.0,
2011,KY,1.0,
2011,LA,,
2011,MA,24.0,
2011,MD,2.0,
2011,ME,,
2011,MI,2.0,
2011,MN,26.0,
2011,MO,,
2011,MS,,
2011,MT,,
2011,NC,2.0,
2011,ND,1.0,
2011,NE,,
2011,NH,1.0,
2011,NJ,4.0,
2011,NM,4.0,
2011,NV,1.0,
2011,NY,32.0,
2011,OH,,
2011,OK,,
2011,OR,3.0,
2011,PA,13.0,
2011,RI,1.0,
2011,SC,,
2011,SD,,
2011,TN,3.0,
2011,TX,6.0,
2011,UT,13.0,
2011,VA,7.0,
2011,VT,1.0,
2011,WA,4.0,
2011,WI,2.0,
2011,WV,,
2011,WY,,
2012,AK,,
2012,AL,,
2012,AR,4.0,
2012,AZ,2.0,
2012,CA,8.0,
2012,CO,,
2012,CT,1.0,
2012,DC,1.0,
2012,DE,1.0,
2012,FL,,
2012,GA,2.0,
2012,HI,,
2012,IA,,
2012,ID,,
2012,IL,,
2012,IN,15.0,
2012,KS,6.0,
2012,KY,,
2012,LA,,
2012,MA,,
2012,MD,,
2012,ME,,
2012,MI,1.0,
2012,MN,,
2012,MO,,
2012,MS,,
2012,MT,,
2012,NC,,
2012,ND,,
2012,NE,,
2012,NH,,
2012,NJ,2.0,
2012,NM,2.0,
2012,NV,,
2012,NY,5.0,
2012,OH,1.0,
2012,OK,,
2012,OR,1.0,
2012,PA,2.0,
2012,RI,,
2012,SC,,
2012,SD,,
2012,TN,,
2012,TX,,
2012,UT,1.0,
2012,VA,,
2012,VT,,
2012,WA,,
2012,WI,,
2012,WV,,
2012,WY,,
2013,AK,,
2013,AL,,
2013,AR,,
2013,AZ,1.0,
2013,CA,17.0,
2013,CO,2.0,
2013,CT,,
2013,DC,,
2013,DE,,
2013,FL,7.0,
2013,GA,,
2013,HI,,
2013,IA,,
2013,ID,,
2013,IL,5.0,
2013,IN,2.0,
2013,KS,,
2013,KY,,
2013,LA,,
2013,MA,,
2013,MD,1.0,
2013,ME,,
2013,MI,5.0,
2013,MN,2.0,
2013,MO,3.0,
2013,MS,,
2013,MT,,
2013,NC,,
2013,ND,,
2013,NE,,
2013,NH,,
2013,NJ,15.0,
2013,NM,,
2013,NV,,
2013,NY,,
2013,OH,,
2013,OK,,
2013,OR,6.0,
2013,PA,,
2013,RI,1.0,
2013,SC,,
