year,state,measles_cases,mumps_cases,pertussis_cases
2003,CO,,,340.0
2003,CT,,,25.0
2003,DC,,,3.0
2003,DE,,,8.0
2003,FL,,,119.0
2003,GA,,,32.0
2003,HI,,,11.0
2003,IA,,,151.0
2003,ID,,,82.0
2003,IN,,,70.0
2003,KS,,,45.0
2003,KY,,,45.0
2003,LA,,,6.0
2003,MA,,,1017.0
2003,MD,,,86.0
2003,ME,,,12.0
2003,MI,,,130.0
2003,MN,,,146.0
2003,MO,,,173.0
2003,MS,,,6.0
2003,MT,,,5.0
2003,NC,,,137.0
2003,ND,,,6.0
2003,NE,,,15.0
2003,NH,,,60.0
2003,NJ,,,107.0
2003,NM,,,69.0
2003,NV,,,35.0
2003,OH,,,317.0
2003,OK,,,92.0
2003,OR,,,439.0
2003,PA,,,327.0
2003,RI,,,20.0
2003,SC,,,192.0
2003,SD,,,5.0
2003,TN,,,76.0
2003,TX,,,761.0
2003,UT,,,128.0
2003,VA,,,90.0
2003,VT,,,71.0
2003,WA,,,703.0
2003,WI,,,215.0
2003,WV,,,27.0
2003,WY,,,130.0
2004,AK,,,12.0
2004,AL,,,43.0
2004,AR,,,78.0
2004,AZ,,,233.0
2004,CA,,,498.0
2004,CO,,,1024.0
2004,CT,,,12.0
2004,DC,,,9.0
2004,DE,,,8.0
2004,FL,,,130.0
2004,GA,,,32.0
2004,HI,,,25.0
2004,IA,,,274.0
2004,ID,,,38.0
2004,IL,,,497.0
2004,IN,,,293.0
2004,KS,,,230.0
2004,KY,,,83.0
2004,LA,,,12.0
2004,MA,,,1537.0
2004,MD,,,137.0
2004,ME,,,34.0
2004,MI,,,280.0
2004,MN,,,480.0
2004,MO,,,525.0
2004,MS,,,17.0
2004,MT,,,74.0
2004,NC,,,101.0
2004,ND,,,745.0
2004,NE,,,78.0
2004,NH,,,96.0
2004,NJ,,,244.0
2004,NM,,,145.0
2004,NV,,,48.0
2004,OH,,,693.0
2004,OK,,,33.0
2004,OR,,,504.0
2004,PA,,,558.0
2004,RI,,,47.0
2004,SC,,,50.0
2004,SD,,,73.0
2004,TN,,,135.0
2004,TX,,,821.0
2004,UT,,,238.0
2004,VA,,,233.0
2004,VT,,,122.0
2004,WA,,,752.0
2004,WI,,,3855.0
2004,WV,,,24.0
2004,WY,,,35.0
2005,AK,,,125.0
2005,AL,,,84.0
2005,AR,,,292.0
2005,AZ,,,959.0
2005,CA,,,1622.0
2005,CO,,,1373.0
2005,CT,,,53.0
2005,DC,,,11.0
2005,DE,,,15.0
2005,FL,,,209.0
2005,GA,,,42.0
2005,HI,,,154.0
2005,IA,,,896.0
2005,ID,,,231.0
2005,IL,,,698.0
2005,IN,,,335.0
2005,KS,,,550.0
2005,KY,,,145.0
2005,LA,,,39.0
2005,MA,,,1589.0
2005,MD,,,199.0
2005,ME,,,37.0
2005,MI,,,304.0
2005,MN,,,1086.0
2005,MO,,,606.0
2005,MS,,,52.0
2005,MT,,,570.0
2005,NC,,,127.0
2005,ND,,,754.0
2005,NE,,,177.0
2005,NH,,,119.0
2005,NJ,,,247.0
2005,NM,,,159.0
2005,NV,,,48.0
2005,OH,,,1185.0
2005,OK,,,33.0
2005,OR,,,575.0
2005,PA,,,706.0
2005,RI,,,47.0
2005,SC,,,378.0
2005,SD,,,161.0
2005,TN,,,196.0
2005,TX,,,1602.0
2005,UT,,,643.0
2005,VA,,,335.0
2005,VT,,,125.0
2005,WA,,,835.0
2005,WI,,,4048.0
2005,WV,,,47.0
2005,WY,,,49.0
2006,AK,,,65.0
2006,AL,,,165.0
2006,AR,,,75.0
2006,AZ,,,476.0
2006,CA,,,1335.0
2006,CO,,,718.0
2006,CT,,,91.0
2006,DC,,,6.0
2006,DE,,,3.0
2006,FL,,,230.0
2006,GA,,,25.0
2006,HI,,,80.0
2006,IA,,,274.0
2006,ID,,,86.0
2006,IL,,,453.0
2006,IN,,,231.0
2006,KS,,,320.0
2006,KY,,,55.0
2006,LA,,,13.0
2006,MA,,,594.0
2006,MD,,,128.0
2006,ME,,,112.0
2006,MI,,,617.0
2006,MN,,,164.0
2006,MO,,,301.0
2006,MS,,,42.0
2006,MT,,,109.0
2006,NC,,,237.0
2006,ND,,,26.0
2006,NE,,,97.0
2006,NH,,,190.0
2006,NJ,,,185.0
2006,NM,,,128.0
2006,NV,,,66.0
2006,OH,,,631.0
2006,OK,,,28.0
2006,OR,,,105.0
2006,PA,,,672.0
2006,RI,,,70.0
2006,SC,,,173.0
2006,SD,,,20.0
2006,TN,,,162.0
2006,TX,,,736.0
2006,UT,,,861.0
2006,VA,,,202.0
2006,VT,,,117.0
2006,WA,,,321.0
2006,WI,,,168.0
2006,WV,,,47.0
2006,WY,,,78.0
2007,AK,,,52.0
2007,AL,,,82.0
2007,AR,,,137.0
2007,AZ,,,201.0
2007,CA,,,272.0
2007,CO,,,306.0
2007,CT,,,59.0
2007,DC,,,2.0
2007,DE,,,11.0
2007,FL,,,213.0
2007,GA,,,32.0
2007,HI,,,18.0
2007,IA,,,139.0
2007,ID,,,42.0
2007,IL,,,166.0
2007,IN,,,55.0
2007,KS,,,133.0
2007,KY,,,27.0
2007,LA,,,19.0
2007,MA,,,956.0
2007,MD,,,113.0
2007,ME,,,77.0
2007,MI,,,279.0
2007,MN,,,262.0
2007,MO,,,103.0
2007,MS,,,221.0
2007,MT,,,46.0
2007,NC,,,326.0
2007,ND,,,10.0
2007,NE,,,69.0
2007,NH,,,61.0
2007,NJ,,,139.0
2007,NM,,,71.0
2007,NV,,,14.0
2007,OH,,,610.0
2007,OK,,,50.0
2007,OR,,,112.0
2007,PA,,,388.0
2007,RI,,,32.0
2007,SC,,,72.0
2007,SD,,,57.0
2007,TN,,,80.0
2007,TX,,,825.0
2007,UT,,,402.0
2007,VA,,,123.0
2007,VT,,,61.0
2007,WA,,,313.0
2007,WI,,,199.0
2007,WV,,,30.0
2007,WY,,,23.0
2008,AK,,,257.0
2008,AL,,,56.0
2008,AR,,,82.0
2008,AZ,,,196.0
2008,CA,,,383.0
2008,CO,,,154.0
2008,CT,,,34.0
2008,DC,,,7.0
2008,DE,,,18.0
2008,FL,,,306.0
2008,GA,,,83.0
2008,HI,,,17.0
2008,IA,,,174.0
2008,ID,,,36.0
2008,IL,,,497.0
2008,IN,,,112.0
2008,KS,,,66.0
2008,KY,,,131.0
2008,LA,,,77.0
2008,MA,,,420.0
2008,MD,,,129.0
2008,ME,,,46.0
2008,MI,,,291.0
2008,MN,,,224.0
2008,MO,,,485.0
2008,MS,,,89.0
2008,MT,,,83.0
2008,NC,,,79.0
2008,ND,,,1.0
2008,NE,,,273.0
2008,NH,,,38.0
2008,NJ,,,71.0
2008,NM,,,65.0
2008,NV,,,24.0
2008,OH,,,789.0
2008,OK,,,55.0
2008,OR,,,164.0
2008,PA,,,502.0
2008,RI,,,59.0
2008,SC,,,123.0
2008,SD,,,43.0
2008,TN,,,105.0
2008,TX,,,1260.0
2008,UT,,,226.0
2008,VA,,,152.0
2008,VT,,,12.0
2008,WA,,,402.0
2008,WI,,,114.0
2008,WV,,,9.0
2008,WY,,,16.0
2009,AK,,,258.0
2009,AL,,,284.0
2009,AR,,,265.0
2009,AZ,,,220.0
2009,CA,,,463.0
2009,CO,,,243.0
2009,CT,,,48.0
2009,DC,,,7.0
2009,DE,,,18.0
2009,FL,,,498.0
2009,GA,,,193.0
2009,HI,,,26.0
2009,IA,,,209.0
2009,ID,,,90.0
2009,IL,,,570.0
2009,IN,,,317.0
2009,KS,,,146.0
2009,KY,,,219.0
2009,LA,,,90.0
2009,MA,,,420.0
2009,MD,,,131.0
