year,state,cancer_death_count
1997,KS,5219.0
1997,KY,8970.0
1997,LA,9352.0
1997,ME,2980.0
1997,MD,10129.0
1997,MA,13687.0
1997,MI,19610.0
1997,MN,8777.0
1997,MS,5849.0
1997,MO,11959.0
1997,MT,1788.0
1997,NE,3238.0
1997,NV,3179.0
1997,NH,2414.0
1997,NJ,18157.0
1997,NM,2766.0
1997,NY,37360.0
1997,NC,15171.0
1997,ND,1322.0
1997,OH,24693.0
1997,OK,7235.0
1997,OR,6768.0
1997,PA,30181.0
1997,RI,2466.0
1997,SC,7640.0
1997,SD,1548.0
1997,TN,11861.0
1997,TX,32193.0
1997,UT,2133.0
1997,VT,1230.0
1997,VA,12928.0
1997,WA,10035.0
1997,WV,4757.0
1997,WI,10577.0
1997,WY,844.0
1998,AL,9680.0
1998,AK,651.0
1998,AZ,8477.0
1998,AR,5961.0
1998,CA,51428.0
1998,CO,5814.0
1998,CT,7106.0
1998,DE,1652.0
1998,,1357.0
1998,FL,38171.0
1998,GA,13128.0
1998,HI,1969.0
1998,ID,2089.0
1998,IL,24637.0
1998,IN,12652.0
1998,IA,6429.0
1998,KS,5110.0
1998,KY,8875.0
1998,LA,9358.0
1998,ME,2919.0
1998,MD,10199.0
1998,MA,13811.0
1998,MI,19398.0
1998,MN,8798.0
1998,MS,5958.0
1998,MO,12338.0
1998,MT,1825.0
1998,NE,3277.0
1998,NV,3523.0
1998,NH,2434.0
1998,NJ,18032.0
1998,NM,2741.0
1998,NY,36914.0
1998,NC,15357.0
1998,ND,1339.0
1998,OH,24946.0
1998,OK,7109.0
1998,OR,6970.0
1998,PA,29821.0
1998,RI,2480.0
1998,SC,7705.0
1998,SD,1564.0
1998,TN,11990.0
1998,TX,32315.0
1998,UT,2371.0
1998,VT,1213.0
1998,VA,12891.0
1998,WA,10277.0
1998,WV,4724.0
1998,WI,10904.0
1998,WY,845.0
1999,AL,19894.0
2000,AL,20462.0
2001,AL,21738.0
2002,AL,22134.0
2003,AL,21477.0
2004,AL,22966.0
2005,AL,23356.0
2006,AL,24132.0
2007,AL,25078.0
2008,AL,26068.0
2009,AL,26113.0
2010,AL,26167.0
2011,AL,26055.0
2012,AL,26357.0
2013,AL,26490.0
2014,AL,26450.0
2015,AL,27623.0
2016,AL,28318.0
2017,AL,28165.0
1999,AK,2045.0
2000,AK,2134.0
2001,AK,2270.0
2002,AK,2351.0
2003,AK,2362.0
2004,AK,2549.0
2005,AK,2466.0
2006,AK,2609.0
2007,AK,2676.0
2008,AK,2821.0
2009,AK,2846.0
2010,AK,2961.0
2011,AK,2912.0
2012,AK,2877.0
2013,AK,2954.0
2014,AK,2979.0
2015,AK,3073.0
2016,AK,3100.0
2017,AK,3137.0
1999,AZ,22084.0
2000,AZ,22859.0
2001,AZ,24125.0
2002,AZ,24271.0
2003,AZ,24742.0
2004,AZ,25279.0
2005,AZ,26191.0
2006,AZ,27309.0
2007,AZ,28496.0
2008,AZ,28613.0
2009,AZ,30015.0
2010,AZ,29771.0
2011,AZ,30620.0
2012,AZ,30438.0
2013,AZ,31245.0
2014,AZ,32709.0
2015,AZ,33408.0
2016,AZ,34076.0
2017,AZ,35264.0
1999,AR,12892.0
2000,AR,13116.0
2001,AR,13613.0
2002,AR,13651.0
2003,AR,14226.0
2004,AR,14288.0
2005,AR,14595.0
2006,AR,14839.0
2007,AR,15386.0
2008,AR,15319.0
2009,AR,15526.0
2010,AR,15737.0
2011,AR,15733.0
2012,AR,16186.0
2013,AR,16756.0
2014,AR,17158.0
2015,AR,17821.0
2016,AR,17890.0
2017,AR,18235.0
1999,CA,140652.0
2000,CA,141905.0
2001,CA,147074.0
2002,CA,148802.0
2003,CA,147364.0
2004,CA,151500.0
2005,CA,153748.0
2006,CA,155464.0
2007,CA,161983.0
2008,CA,164793.0
2009,CA,167199.0
2010,CA,168209.0
2011,CA,168767.0
2012,CA,169364.0
2013,CA,171199.0
2014,CA,174156.0
2015,CA,178324.0
2016,CA,179405.0
2017,CA,184227.0
1999,CO,16723.0
2000,CO,17431.0
2001,CO,18459.0
2002,CO,18705.0
2003,CO,18771.0
2004,CO,19097.0
2005,CO,19619.0
2006,CO,20031.0
2007,CO,21522.0
2008,CO,21812.0
2009,CO,22566.0
2010,CO,22324.0
2011,CO,22726.0
2012,CO,22964.0
2013,CO,23363.0
2014,CO,23836.0
2015,CO,24123.0
2016,CO,24805.0
2017,CO,25590.0
1999,CT,19473.0
2000,CT,20105.0
2001,CT,20545.0
2002,CT,20504.0
2003,CT,20452.0
2004,CT,20438.0
2005,CT,20846.0
2006,CT,21618.0
2007,CT,21725.0
2008,CT,21900.0
2009,CT,22368.0
2010,CT,22047.0
2011,CT,21983.0
2012,CT,22048.0
2013,CT,22111.0
2014,CT,22005.0
2015,CT,22388.0
2016,CT,22699.0
2017,CT,22833.0
1999,DE,4137.0
2000,DE,4299.0
2001,DE,4490.0
2002,DE,4537.0
2003,DE,4524.0
2004,DE,4707.0
2005,DE,4993.0
2006,DE,5303.0
2007,DE,5372.0
2008,DE,5508.0
2009,DE,5590.0
2010,DE,5555.0
2011,DE,5763.0
2012,DE,5827.0
2013,DE,6066.0
2014,DE,6016.0
2015,DE,6237.0
2016,DE,6324.0
2017,DE,6027.0
1999,,2999.0
2000,,3033.0
2001,,2988.0
2002,,2980.0
2003,,3142.0
2004,,2814.0
2005,,2829.0
2006,,2848.0
2007,,3049.0
2008,,2906.0
2009,,2974.0
2010,,3103.0
2011,,3293.0
2012,,3195.0
2013,,2980.0
2014,,3070.0
2015,,2897.0
2016,,2898.0
2017,,3124.0
1999,FL,102832.0
